DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,DiscapacidadDelSolicitante,NumeroDeTitularesConAlgunaDiscapacidad
Santander,Cerrito,68162,No,9
Antioquia,Turbo,05837,No,2218
Valle Del Cauca,Restrepo,76606,No,16
Arauca,Puerto Rondón,81591,Si,4
Antioquia,Puerto Nare,05585,Si,6
Cauca,Cajibío,19130,No,525
Meta,Puerto Rico,50590,Si,102
Chocó,San José Del Palmar,27660,Si,22
Cundinamarca,Cabrera,25120,Si,3
Atlántico,Polonuevo,08558,No,4
Boyacá,Buenavista,15109,No,1
Cesar,El Copey,20238,No,561
Bolívar,Altos Del Rosario,13030,Si,5
Tolima,Natagaima,73483,Si,27
Bolívar,San Juan Nepomuceno,13657,No Reporta,1
Córdoba,Cotorra,23300,No,2
Cundinamarca,Nilo,25488,No,3
Cauca,Paez,19517,Si,22
Boyacá,Páez,15514,Si,6
Cesar,Becerril,20045,Si,50
Putumayo,San Francisco,86755,Si,8
Antioquia,Apartadó,05045,No,657
Cesar,El Paso,20250,Si,10
Valle Del Cauca,Guacarí,76318,No,16
Antioquia,Dabeiba,05234,No,452
Cauca,Morales,19473,Si,27
Caquetá,Solano,18756,Si,50
Caldas,Samaná,17662,No,946
Bolívar,Santa Catalina,13673,No,9
Cundinamarca,Paratebueno,25530,No,37
Tolima,Alpujarra,73024,Si,6
Tolima,Honda,73349,Si,1
Antioquia,Tarazá,05790,Si,73
Magdalena,Santa Ana,47707,No,109
Huila,Palestina,41530,Si,1
Bolívar,Norosí,13490,Si,7
Córdoba,Los Córdobas,23419,No,20
Santander,Santa Bárbara,68705,No,1
Antioquia,San Francisco,05652,Si,12
Antioquia,Zaragoza,05895,Si,27
Risaralda,La Celia,66383,Si,2
Antioquia,Concepción,05206,No,23
Antioquia,La Unión,05400,No,29
Norte Santander,Abrego,54003,No,205
Bolívar,Cantagallo,13160,Si,13
Bolívar,Tiquisio,13810,Si,13
Cundinamarca,Uutica,25851,No,2
Boyacá,Quípama,15580,No,19
Putumayo,Puerto Leguízamo,86573,Si,71
Valle Del Cauca,Trujillo,76828,No,278
Santander,Gambita,68298,No,5
Tolima,Ambalema,73030,No,68
Norte Santander,Salazar,54660,Si,8
Santander,Florián,68271,No,5
Antioquia,Yalí,05885,Si,4
Santander,Charalá,68167,Si,2
Antioquia,El Carmen De Viboral,05148,Si,21
Antioquia,Sabanalarga,05628,No,26
Atlántico,Manatí,08436,No,12
Sucre,Palmito,70523,Si,3
Amazonas,Puerto Alegría,91530,No,5
Cauca,Inzá,19355,Si,12
Putumayo,Puerto Caicedo,86569,Si,102
Norte Santander,Sardinata,54720,Si,55
La Guajira,Distracción,44098,Si,7
Risaralda,Santa Rosa De Cabal,66682,No,6
Nariño,La Llanada,52385,Si,2
Tolima,Ibagué,73001,No,280
Guainía,Inírida,94001,Si,2
Santander,Barrancabermeja,68081,No,631
Boyacá,Macanal,15425,No,4
Huila,Colombia,41206,Si,14
Bolívar,Pinillos,13549,No,20
Valle Del Cauca,Yotoco,76890,Si,3
La Guajira,Dibulla,44090,Si,28
Cauca,Cajibío,19130,Si,193
La Guajira,Riohacha,44001,No,272
Vichada,Puerto Carreño,99001,No,54
Cundinamarca,Soacha,25754,Si,11
Norte Santander,Gramalote,54313,Si,2
Vaupés,Yavaraté,97889,No,1
Meta,Puerto López,50573,Si,27
Nariño,Mallama,52435,No,47
Cundinamarca,La Mesa,25386,No,7
Magdalena,Plato,47555,No,225
Bolívar,Talaigua Nuevo,13780,No,4
Tolima,Coello,73200,Si,1
Cesar,San Martín,20770,No Reporta,1
Boyacá,Almeida,15022,No,2
Putumayo,San Miguel,86757,No,801
Antioquia,Ituango,05361,Si,61
Huila,Pitalito,41551,Si,17
Bolívar,Simití,13744,Si,13
Córdoba,Puerto Escondido,23574,Si,7
Antioquia,Yondó,05893,No Reporta,1
Caquetá,San Vicente Del Caguán,18753,No,808
Antioquia,Sonsón,05756,Si,50
Cauca,Popayán,19001,No,322
Caldas,Anserma,17042,Si,11
Cesar,Río De Oro,20614,Si,11
Tolima,Icononzo,73352,Si,11
Antioquia,Betulia,05093,No,60
Atlántico,Galapa,08296,No,8
Risaralda,Quinchía,66594,No,262
Valle Del Cauca,San Pedro,76670,Si,7
Antioquia,Venecia,05861,No,13
