DepartamentoDePredio,MunicipioDelPredio,CodigoDANE,GrupoEtarioSelSolicitante,NumeroDeSolicitantes
Antioquia,Zaragoza,5895,Mujer,117
Putumayo,Orito,86320,Hombre,577
Antioquia,El Bagre,5250,Mujer,442
Putumayo,Orito,86320,NoReporta,1
Amazonas,La Pedrera,91407,Mujer,0
Amazonas,El Encanto,91263,Hombre,0
Amazonas,El Encanto,91263,Mujer,4
Amazonas,La Chorrera,91405,Hombre,1
Amazonas,La Pedrera,91407,Hombre,2
Amazonas,La Victoria,91430,Hombre,4
Amazonas,La Victoria,91430,Mujer,1
Amazonas,Leticia,91001,Hombre,1
Amazonas,Leticia,91001,Mujer,8
Amazonas,Miriti - Paraná,91460,Hombre,1
Amazonas,Puerto Alegría,91530,Mujer,5
Amazonas,Puerto Arica,91536,Hombre,0
Amazonas,Puerto Arica,91536,Mujer,2
Amazonas,Puerto Santander,91669,Hombre,10
Amazonas,Puerto Santander,91669,Mujer,6
Amazonas,Tarapacá,91798,Hombre,1
Antioquia,Abejorral,5002,Hombre,41
Antioquia,Abejorral,5002,Mujer,21
Antioquia,Abejorral,5002,Privada,11
Antioquia,Abriaquí,5004,Hombre,12
Antioquia,Abriaquí,5004,Mujer,3
Antioquia,Alejandría,5021,Hombre,25
Antioquia,Alejandría,5021,Mujer,8
Antioquia,Amagá,5030,Hombre,10
Antioquia,Amagá,5030,Mujer,9
Antioquia,Amalfi,5031,Hombre,71
Antioquia,Amalfi,5031,Mujer,44
Antioquia,Andes,5034,Hombre,16
Antioquia,Andes,5034,Mujer,15
Antioquia,Angelópolis,5036,Hombre,9
Antioquia,Angelópolis,5036,Mujer,7
Antioquia,Angostura,5038,Hombre,21
Antioquia,Angostura,5038,Mujer,30
Antioquia,Anorí,5040,Hombre,75
Antioquia,Anorí,5040,Mujer,49
Antioquia,Anza,5044,Hombre,10
Antioquia,Anza,5044,Mujer,11
Antioquia,Apartadó,5045,Hombre,375
Antioquia,Apartadó,5045,Mujer,380
Antioquia,Apartadó,5045,Privada,1
Antioquia,Arboletes,5051,Hombre,309
Antioquia,Arboletes,5051,Mujer,207
Antioquia,Arboletes,5051,Privada,1
Antioquia,Argelia,5055,Hombre,216
Antioquia,Argelia,5055,Mujer,161
Antioquia,Argelia,5055,Privada,1
Antioquia,Armenia,5059,Hombre,6
Antioquia,Armenia,5059,Mujer,11
Antioquia,Barbosa,5079,Hombre,25
Antioquia,Barbosa,5079,Mujer,26
Antioquia,Bello,5088,Hombre,76
Antioquia,Bello,5088,Mujer,95
Antioquia,Belmira,5086,Hombre,7
Antioquia,Betania,5091,Hombre,35
Antioquia,Betania,5091,Mujer,21
Antioquia,Betulia,5093,Hombre,36
Antioquia,Betulia,5093,Mujer,29
Antioquia,Briceño,5107,Hombre,51
Antioquia,Briceño,5107,Mujer,50
Antioquia,Buriticá,5113,Hombre,14
Antioquia,Buriticá,5113,Mujer,10
Antioquia,Cáceres,5120,Hombre,515
Antioquia,Cáceres,5120,Mujer,549
Antioquia,Cáceres,5120,NoReporta,3
Antioquia,Caicedo,5125,Hombre,4
Antioquia,Caicedo,5125,Mujer,7
Antioquia,Caldas,5129,Hombre,13
Antioquia,Caldas,5129,Mujer,13
Antioquia,Campamento,5134,Hombre,27
Antioquia,Campamento,5134,Mujer,13
Antioquia,Cañasgordas,5138,Hombre,52
Antioquia,Cañasgordas,5138,Mujer,68
Antioquia,Caracolí,5142,Hombre,2
Antioquia,Caracolí,5142,Mujer,4
Antioquia,Caramanta,5145,Hombre,12
Antioquia,Caramanta,5145,Mujer,9
Antioquia,Carepa,5147,Hombre,150
Antioquia,Carepa,5147,Mujer,90
Antioquia,Carepa,5147,NoReporta,1
Antioquia,Carepa,5147,Privada,4
Antioquia,Carolina,5150,Hombre,1
Antioquia,Caucasia,5154,Hombre,182
Antioquia,Caucasia,5154,Mujer,226
Antioquia,Caucasia,5154,NoReporta,3
Antioquia,Caucasia,5154,Privada,2
Antioquia,Chigorodó,5172,Hombre,267
Antioquia,Chigorodó,5172,Mujer,204
Antioquia,Chigorodó,5172,Privada,0
Antioquia,Cisneros,5190,Hombre,1
Antioquia,Cisneros,5190,Mujer,2
Antioquia,Ciudad Bolívar,5101,Hombre,24
Antioquia,Ciudad Bolívar,5101,Mujer,21
Antioquia,Cocorná,5197,Hombre,139
Antioquia,Cocorná,5197,Mujer,152
Antioquia,Concepción,5206,Hombre,25
Antioquia,Concepción,5206,Mujer,2
Antioquia,Concordia,5209,Hombre,23
Antioquia,Concordia,5209,Mujer,11
Antioquia,Copacabana,5212,Hombre,11
Antioquia,Copacabana,5212,Mujer,10
Antioquia,Dabeiba,5234,Hombre,284
Antioquia,Dabeiba,5234,Mujer,240
Antioquia,Don Matías,5237,Hombre,1
Antioquia,Don Matías,5237,Mujer,5
Antioquia,Ebéjico,5240,Hombre,5
Antioquia,Ebéjico,5240,Mujer,2
Antioquia,El Bagre,5250,Hombre,474
Antioquia,El Carmen De Viboral,5148,Hombre,90
Antioquia,El Carmen De Viboral,5148,Mujer,63
Antioquia,El Carmen De Viboral,5148,Privada,1
Antioquia,El Santuario,5697,Hombre,11
Antioquia,El Santuario,5697,Mujer,9
Antioquia,Entrerrios,5264,Hombre,7
Antioquia,Entrerrios,5264,Mujer,3
Antioquia,Envigado,5266,Hombre,11
Antioquia,Envigado,5266,Mujer,3
Antioquia,Fredonia,5282,Hombre,12
Antioquia,Fredonia,5282,Mujer,2
Antioquia,Frontino,5284,Hombre,97
Antioquia,Frontino,5284,Mujer,80
Antioquia,Giraldo,5306,Hombre,10
Antioquia,Giraldo,5306,Mujer,10
Antioquia,Girardota,5308,Hombre,32
Antioquia,Girardota,5308,Mujer,16
Antioquia,Gómez Plata,5310,Hombre,11
Antioquia,Gómez Plata,5310,Mujer,12
Antioquia,Granada,5313,Hombre,575
Antioquia,Granada,5313,Mujer,447
Antioquia,Granada,5313,NoReporta,2
Antioquia,Guadalupe,5315,Hombre,5
Antioquia,Guadalupe,5315,Mujer,3
Antioquia,Guarne,5318,Hombre,18
Antioquia,Guarne,5318,Mujer,23
Antioquia,Guatapé,5321,Hombre,14
Antioquia,Guatapé,5321,Mujer,6
Antioquia,Heliconia,5347,Hombre,37
Antioquia,Heliconia,5347,Mujer,38
Antioquia,Hispania,5353,Hombre,2
Antioquia,Itaguí,5360,Hombre,12
Antioquia,Itaguí,5360,Mujer,12
Antioquia,Ituango,5361,Hombre,183
Antioquia,Ituango,5361,Mujer,144
Antioquia,Ituango,5361,NoReporta,1
Antioquia,Jardín,5364,Hombre,5
Antioquia,Jardín,5364,Mujer,1
Antioquia,Jericó,5368,Hombre,6
Antioquia,Jericó,5368,Mujer,2
Antioquia,La Ceja,5376,Hombre,3
Antioquia,La Ceja,5376,Mujer,4
Antioquia,La Estrella,5380,Hombre,4
Antioquia,La Estrella,5380,Mujer,5
Antioquia,La Pintada,5390,Hombre,5
Antioquia,La Pintada,5390,Mujer,2
Antioquia,La Unión,5400,Hombre,22
Antioquia,La Unión,5400,Mujer,14
Antioquia,Liborina,5411,Hombre,7
Antioquia,Liborina,5411,Mujer,1
Antioquia,Maceo,5425,Hombre,55
Antioquia,Maceo,5425,Mujer,35
Antioquia,Marinilla,5440,Hombre,5
Antioquia,Marinilla,5440,Mujer,5
Antioquia,Marinilla,5440,NoReporta,1
Antioquia,MEDELLÍN,5001,Hombre,400
Antioquia,MEDELLÍN,5001,Mujer,650
Antioquia,MEDELLÍN,5001,NoReporta,2
Antioquia,MEDELLÍN,5001,Privada,2
Antioquia,Montebello,5467,Hombre,261
Antioquia,Montebello,5467,Mujer,205
Antioquia,Montebello,5467,Privada,1
Antioquia,Murindó,5475,Hombre,7
Antioquia,Murindó,5475,Mujer,5
Antioquia,Mutatá,5480,Hombre,361
Antioquia,Mutatá,5480,Mujer,276
Antioquia,Mutatá,5480,Privada,5
Antioquia,Nariño,5483,Hombre,108
Antioquia,Nariño,5483,Mujer,93
Antioquia,Nechí,5495,Hombre,223
Antioquia,Nechí,5495,Mujer,165
Antioquia,Necoclí,5490,Hombre,457
Antioquia,Necoclí,5490,Mujer,274
Antioquia,Olaya,5501,Hombre,2
Antioquia,Olaya,5501,Mujer,3
Antioquia,Peñol,5541,Hombre,14
Antioquia,Peñol,5541,Mujer,18
Antioquia,Peque,5543,Hombre,17
Antioquia,Peque,5543,Mujer,27
Antioquia,Pueblorrico,5576,Hombre,9
